name,rating,genres,tags
Red Dead Redemption 2,4.59,Action,"Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, Co-op"
What a Legend!,4.58,Casual,"2D, Nudity, Sexual Content, NSFW, adult"
Deltarune: Chapter 2,4.58,"Action, Adventure, RPG, Indie",deltarune
Midnight Club 3: DUB Edition Remix,4.58,"Racing, Arcade",
Virtua Racing,4.58,Racing,"Singleplayer, Multiplayer, Retro, Driving, retro-gaming"
StarСraft II: Legacy of the Void,4.58,Strategy,
Age of Empires II: The Conquerors,4.58,Strategy,
Diablo II: Lord of Destruction,4.58,"Action, RPG",
The Legend of Zelda: Twilight Princess HD,4.58,"Action, RPG","exclusive, true exclusive"
Mega Man Maverick Hunter X,4.58,"Action, Platformer",Music
Portal 2,4.58,"Shooter, Puzzle","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud"
HoloCure - Save the Fans!,4.57,"Action, Adventure, Casual, Indie","Singleplayer, Steam Achievements, Steam Cloud, 2D, Partial Controller Support"
Mars First Logistics,4.57,"Simulation, Indie","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud"
Lil' Guardsman,4.57,"Adventure, Casual, Indie","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Story Rich"
OCTOPATH TRAVELER II,4.57,RPG,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric"
Kingdom Come: Deliverance - Royal Edition,4.57,"Action, RPG",
Dungeons of Dreadrock,4.57,"Action, Adventure, RPG, Casual, Indie, Puzzle","Singleplayer, Full controller support, Atmospheric, 2D, Fantasy"
Osake Riesz,4.57,Casual,"NSFW, hentai, adult, eroge"
Athanasy,4.57,"Casual, Indie","Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, Story Rich"
Duskwood -Detective & Criminal,4.57,"Adventure, RPG","RPG, Story, puzzles, city, friends"
Mass Effect: Legendary Edition,4.57,"Action, Shooter, Adventure, RPG","Singleplayer, Steam Achievements, Full controller support, Atmospheric, Great Soundtrack"
Grand Theft Auto IV: Complete Edition,4.57,"Action, Adventure","city, Gay"
Mahjong Titans (Microsoft),4.57,Card,
Project Gotham Racing 2,4.57,"Racing, Arcade","exclusive, true exclusive"
A Hat in Time - Nyakuza Metro,4.57,"Action, Adventure","online, Kickstarter, party, baseball, pizza"
