name,rating,genres,tags
Half-Life 2: Episode Two,4.45,"Action, Shooter, Puzzle","Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, Atmospheric"
The Elder Scrolls V: Skyrim Special Edition,4.45,"Action, RPG","Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, Great Soundtrack"
Max Payne,4.45,"Action, Shooter","Singleplayer, Classic, Third-Person Shooter, Noir, first person mod"
Grand Theft Auto: Vice City,4.45,Action,"Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, Open World"
Minishoot' Adventures,4.44,"Action, Adventure, RPG, Casual","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, RPG"
Mom got stuck in the washing machine,4.44,"Simulation, Casual, Indie","Singleplayer, First-Person, Comedy, Nudity, Cute"
Aurelia,4.44,"Adventure, RPG, Indie","Singleplayer, Steam Achievements, Steam Cloud, RPG, 2D"
Pokemon Fire-Red (AceDragon1612),4.44,Adventure,
Portal Reloaded,4.44,"Action, Indie, Puzzle, Platformer","First-Person, Sci-fi, 3D Platformer, puzzles, Time Travel"
Babylirious,4.44,Simulation,"Singleplayer, Atmospheric, Horror, Dark, 3D"
Cha Cha Slide,4.44,Simulation,"3D, Physics, Unity"
Everlasting Summer: Samantha,4.44,Indie,
Dragon Age: Origins - Ultimate Edition,4.44,RPG,"Singleplayer, RPG, Story Rich, Open World, Third Person"
I Spy Spooky Mansion,4.44,"Adventure, Casual",
Baldur's Gate III,4.44,"Adventure, RPG, Strategy","Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, RPG"
Shadow Hearts,4.44,"Adventure, RPG","exclusive, true exclusive"
Klonoa 2: Lunatea's Veil,4.44,"Action, Adventure, Platformer","exclusive, true exclusive"
Fate/Stay Night [Realta Nua],4.44,Adventure,"Fantasy, War, Magic, Sexual Content, Assassin"
PIPE by BMX Streets,4.44,"Simulation, Sports, Indie","Singleplayer, Full controller support, bmx"
Vagrus - The Riven Realms,4.44,"RPG, Strategy, Indie","Singleplayer, RPG, 2D, Turn-Based, Dark Fantasy"
Super Bomberman 3,4.44,Action,"Singleplayer, Multiplayer"
Sparkster: Rocket Knight Adventures 2,4.44,Platformer,"Singleplayer, exclusive, true exclusive"
The Great Giana Sisters,4.44,,"Singleplayer, Multiplayer"
Ultimate Mortal Kombat 3,4.44,Fighting,"Singleplayer, Multiplayer"
Mega Man Battle Network 3,4.44,"Action, RPG","Singleplayer, Multiplayer"
Hotline Miami Collection,4.44,Action,"combat, online, Blood, collection, Neon"
Persian Nights: Sands of Wonders,4.44,"Adventure, Casual, Puzzle","Singleplayer, Steam Achievements, Steam Cloud, steam-trading-cards, 2D"
Final Fantasy XIV: Heavensward,4.44,"RPG, Massively Multiplayer",
Wobbles,4.44,"Arcade, Casual, Indie","Singleplayer, Free to Play, Family Friendly, Side Scroller, Cartoony"
Rhythm Heaven Megamix,4.44,,"exclusive, true exclusive, Music, Rhythm"
Mighty Final Fight,4.44,,Singleplayer
Minecraft,4.44,"Action, Simulation, Arcade, Massively Multiplayer, Indie","Multiplayer, Sandbox, 3D, Crafting, Building"
The Legend of Heroes: Trails in the Sky the 3rd,4.44,RPG,"Singleplayer, Steam Achievements, Steam Cloud, steam-trading-cards, Great Soundtrack"
Fable: The Lost Chapters,4.44,"Action, Adventure, RPG","Singleplayer, Atmospheric, Great Soundtrack, RPG, Story Rich"
The Legend of Heroes: Trails in the Sky SC,4.44,RPG,"Singleplayer, Steam Achievements, Steam Cloud, steam-trading-cards, Great Soundtrack"
X-Plane 11,4.44,Simulation,"Singleplayer, Multiplayer, Open World, Online multiplayer, Local Multiplayer"
Prince of Persia Classic Trilogy HD,4.44,"Action, Adventure","FPS, online, run"
God Hand,4.44,Action,"Singleplayer, Beat 'em up"
Persona 4 Golden,4.44,RPG,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Great Soundtrack"
UNCHARTED The Nathan Drake Collection,4.44,"Action, Adventure","online, Epic, race, collection, Dog"
Battleheart,4.44,"RPG, Strategy","Fantasy, Survival, combat, battle, character"
SHADOWGUN,4.44,"Action, Adventure, Arcade","combat, Story, Blood, battle, Soundtrack"
MyVoiceZoo,4.43,"Simulation, Casual, Indie","Singleplayer, Steam Achievements, Steam Cloud, 2D, Sandbox"
"One Iced Latte With Your Breast Milk, Please! ☕",4.43,"Adventure, Simulation, Casual, Indie","Singleplayer, Steam Achievements, Steam Cloud, Story Rich, 2D"
Dota,4.43,"RPG, Strategy",
Another Code: Recollection,4.43,Adventure,
Hauntii,4.43,"Action, Adventure, Indie","Singleplayer, Steam Achievements, Full controller support, Atmospheric, Story Rich"
Bionic Bay,4.43,"Action, Adventure, Racing, Casual, Indie, Platformer","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric"
Emi - New Beginning,4.43,"Action, Adventure, Simulation, Casual, Indie","Singleplayer, Fantasy, Nudity, Choices Matter, 3D"
The Demon's Stele & The Dog Princess,4.43,Casual,"Nudity, NSFW, eroge, doujin, doujin-game"
Catto Boi: The Quest for the Frozen Tuna,4.43,"Action, Adventure, Platformer","Singleplayer, 2D, Horror, Pixel Graphics, Cute"
Lust Theory Season 1,4.43,"Adventure, Simulation, Indie","Singleplayer, Story Rich, Sci-fi, Funny, Early Access"
Friday Night Funkin' Mid-fight-Masses,4.43,Indie,
friday night funkin ps4 edition,4.43,,
God of War: Ragnarök,4.43,Action,"Singleplayer, Story Rich, exclusive, true exclusive, Single player only"
sonic.exe spirits of hell,4.43,,
Demon's Souls (2020),4.43,"Action, RPG","exclusive, true exclusive"
Samurai Pizza Cats,4.43,Platformer,"Ninja, cats, anime-inspired, anime-characters"
NIGHT OF THE CONSUMERS,4.43,Action,"Singleplayer, First-Person, Horror, Comedy, Pixel Graphics"
Tabou Stories,4.43,"RPG, Simulation","Story, Drama, character, friends, secrets"
The Sims 4: Cats & Dogs,4.43,Simulation,
Bemuzed,4.43,"Puzzle, Platformer","Singleplayer, 3D, random, two-worlds"
Meridian 157: Chapter 1,4.43,"Adventure, Indie, Puzzle","Singleplayer, Story Rich, First-Person, 2D, Horror"
Squid Game (itch),4.43,,
GRANDIA HD Remaster,4.43,"Adventure, RPG","Singleplayer, Steam Achievements, Steam Cloud, RPG, Partial Controller Support"
KoGaMa,4.43,Adventure,"Exploration, friends, hero, work"
Strike Force Heroes,4.43,"Action, RPG, Simulation, Indie","Singleplayer, Steam Achievements, Multiplayer, Full controller support, RPG"
Run Minerva Run 2: Run Harder,4.43,Platformer,"2D, Walking Simulator, adult, 18"
Kindergarten 2,4.43,"Adventure, Indie","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Gore"
My Little Angel,4.43,"Adventure, Casual, Indie",Singleplayer
Hatsune Miku: Project DIVA Extend,4.43,Arcade,"Rhythm, future, japan, rock"
Road Rash 3,4.43,Racing,"exclusive, true exclusive"
Kara no Shojo,4.43,Adventure,"Singleplayer, Steam Cloud, Great Soundtrack, Story Rich, Horror"
Haunting Ground,4.43,Adventure,"Horror, Survival, exclusive"
Ravenfield (Beta 5),4.43,Shooter,"Singleplayer, First-Person, War, 3D, ragdoll-physics"
Onmyoji Arena,4.43,"Action, Strategy","stats, War, combat, battle, character"
The House in Fata Morgana: A Requiem for Innocence,4.43,Adventure,"Singleplayer, Steam Achievements, Steam Cloud, Great Soundtrack, Story Rich"
Psychedelica of the Black Butterfly,4.43,Adventure,"Monsters, hunt, factory"
Super Robot Taisen: Original Generation 2,4.43,"Action, Strategy","Singleplayer, exclusive, true exclusive"
Monster World IV (1994),4.43,Platformer,Singleplayer
Quest for Glory: So You Want to Be a Hero,4.43,"Adventure, RPG",Singleplayer
Beetle Adventure Racing,4.43,Racing,"Singleplayer, Multiplayer, exclusive, true exclusive"
Hamtaro: Ham-Ham Heartbreak,4.43,Adventure,"Singleplayer, exclusive, true exclusive"
DATA WING,4.43,"Racing, Arcade, Casual","Story, Soundtrack, Solo, racer"
BioShock Infinite: Burial at Sea - Episode Two,4.43,"Action, Shooter",
Space Rangers 2: Reboot,4.43,"Adventure, RPG, Strategy, Arcade",
Moorhuhn Kart 2,4.43,"Racing, Arcade",
Video Strip Poker 2,4.43,Card,
Jurassic Park: Operation Genesis,4.43,Strategy,
Monty Python & The Quest for the Holy Grail,4.43,"Adventure, Arcade",
DX-Ball 2,4.43,Arcade,
The Pink Panther Passport to Peril,4.43,"Adventure, Educational","Point & Click, Single player only"
Sex,4.43,Adventure,
Assassin's Creed II,4.43,Action,"Assassin, hero, Swords"
Flower Sun and Rain: Murder and Mystery in Paradise,4.43,Adventure,Mystery
Monster Hunter Tri,4.43,Action,"Controller, online, character, friends, explore"
The Legend of Zelda: Majora's Mask 3D,4.43,Adventure,"exclusive, true exclusive"
Ultimate Doom,4.43,"Action, Shooter","Singleplayer, Multiplayer, Steam Cloud, Great Soundtrack, First-Person"
Marmoset Hexels 2,4.43,,"Design & Illustration, Animation & Modeling, Game Development"
Fallout: New Vegas,4.43,"Action, Shooter, RPG","Singleplayer, Steam Achievements, Atmospheric, RPG, Story Rich"
BUZZ! Junior: Jungle Party,4.43,Arcade,"character, console, party, fun, jungle"
EA SPORTS FIFA Street,4.43,Sports,"online, Music, fun, Football"
DOOM Classic Complete,4.43,Shooter,"battle, console, work, hell, doom"
Metal Gear Solid: The Legacy Collection,4.43,"Action, Adventure",exclusive
Mutant Fridge Mayhem - Gumball,4.43,Action,"Management, Destruction, character, Cartoon, fight"
Swordigo,4.43,"Action, Adventure","achievements, Monsters, sword, Swords"
Poke Abby,4.42,Simulation,"NSFW, adult, Erotic"
Lichess,4.42,Strategy,
A Space for the Unbound,4.42,"Adventure, Indie","Singleplayer, Full controller support, Atmospheric, Great Soundtrack, Story Rich"
HUMAN FALL FLAT!,4.42,"Adventure, Simulation","Exploration, Physics, puzzles, hero, challenge"
Hades,4.42,"Action, Adventure, RPG, Indie","Singleplayer, Full controller support, Atmospheric, Great Soundtrack, RPG"
ANATOMY,4.42,Adventure,"Story Rich, First-Person, Horror, Walking Simulator, Surreal"
Star Ocean: The Second Story,4.42,RPG,"Singleplayer, exclusive, true exclusive"
Secret of Mana (1993),4.42,"Adventure, RPG","Singleplayer, Multiplayer, cooperative"
The King of Dragons,4.42,"Action, Arcade",Up to 3 (arcade version) or 2 (SNES version) players simultaneously
Beyond Oasis,4.42,"Action, RPG",Singleplayer
Extreme-G 2,4.42,Racing,"Singleplayer, Multiplayer, Steam Cloud, steam-trading-cards, Partial Controller Support"
International Superstar Soccer Deluxe,4.42,Sports,"Singleplayer, Multiplayer"
The Last of Us Part II,4.42,"Action, Shooter, Adventure","Singleplayer, Atmospheric, Survival, Violent, Stealth"
Shovel Knight: King of Cards,4.42,"Action, Adventure, Indie, Platformer","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV"
Shovel Knight: Plague of Shadows,4.42,Arcade,
The Jolly Gang's Misadventures in Africa,4.42,"Adventure, Casual, Indie, Puzzle",Singleplayer
Urban Chaos: Riot Response,4.42,"Action, Shooter",
World of Warcraft: The Burning Crusade,4.42,"RPG, Massively Multiplayer",
FIFA '98: Road to World Cup,4.42,Sports,
Max Payne 2: The Fall of Max Payne,4.42,"Action, Shooter","Physics, Story, Drama, Destruction, character"
Ori and the Will of the Wisps,4.42,"Action, Adventure, Platformer","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric"
Super Mario Odyssey,4.42,"Arcade, Platformer","Singleplayer, Local Multiplayer, Family Friendly, exclusive, Cute"
Dragon Quest IX: Sentinels of the Starry Skies,4.42,RPG,"role-playing, exclusive, true exclusive"
Harvest Moon DS,4.42,,"exclusive, true exclusive"
Hotel Dusk: Room 215,4.42,"Adventure, Puzzle","exclusive, true exclusive"
WarioWare: Smooth Moves,4.42,Casual,"challenge, treasure"
Contra 4,4.42,"Action, Shooter, Platformer","battle, fight, alien"
Advance Wars 2: Black Hole Rising,4.42,Strategy,"Singleplayer, Multiplayer"
The Binding of Isaac: Afterbirth+,4.42,"Action, RPG","Cartoon, secrets, Monsters, shoot, Endless"
Samurai Gunn,4.42,Action,"Singleplayer, Steam Achievements, Multiplayer, Great Soundtrack, Partial Controller Support"
Guild Wars Nightfall,4.42,"Action, RPG, Massively Multiplayer","Multiplayer, RPG, mmo"
Ori and the Blind Forest: Definitive Edition,4.42,"Adventure, Platformer","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric"
We Know the Devil,4.42,"Adventure, Casual, Indie","Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, Great Soundtrack"
The Elder Scrolls V: Skyrim,4.42,"Action, RPG","Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, steam-trading-cards"
Red Dead Redemption,4.42,"Action, Shooter","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric"
Ratchet & Clank: Up Your Arsenal,4.42,"Action, Platformer","Story, Destruction, planet"
Assassin’s Creed The Ezio Collection,4.42,Action,"Multiplayer, online, Assassin, history, collection"
Donkey Kong Bananza,4.41,Adventure,
World of Goo 2,4.41,"Adventure, Casual, Indie, Puzzle","Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, Atmospheric"
Octopath Traveler 2,4.41,Strategy,
Higurashi When They Cry Hou - Ch.8 Matsuribayashi,4.41,Adventure,"Singleplayer, Steam Achievements, Steam Cloud, 2D, Horror"
Doom RPG,4.41,"Action, Shooter, RPG","Singleplayer, RPG, Sci-fi, Horror, Gore"
Captain Claw,4.41,"Arcade, Platformer","puzzles, ancient, cat"
Gran Turismo 3: A-Spec,4.41,Racing,"exclusive, true exclusive"
Gacha Life,4.41,"RPG, Casual","Multiplayer, Anime, Story, character, friends"
Myst III: Exile,4.41,Adventure,"Singleplayer, Point & Click"
Club Penguin,4.41,Casual,mmo
Ghost of Tsushima,4.41,"Action, Adventure, RPG","Singleplayer, Atmospheric, RPG, Open World, Third Person"
Terranigma,4.41,"Action, RPG",Singleplayer
Metroid Prime 2: Echoes,4.41,"Action, Adventure","Singleplayer, Multiplayer"
Zen: Intergalactic Ninja,4.41,"Action, Adventure, Platformer","Ninja, zen"
Chip 'n Dale Rescue Rangers 2,4.41,"Adventure, Platformer","Singleplayer, cooperative"
"Pokémon FireRed, LeafGreen",4.41,"RPG, Strategy","Singleplayer, Multiplayer, exclusive, true exclusive"
Phoenix Wright: Ace Attorney − Justice for All,4.41,Adventure,"Story, Visual Novel, character, Single player only, defense"
Ratchet and Clank: A Crack in Time,4.41,"Action, Arcade","exclusive, true exclusive"
Ever 17: Out of Infinity,4.41,Adventure,
